#yr,mo,dy,hr,mn,degT,m/s,m/s,m,sec,sec,deg,T   hPa,degC,degC,degC,mi,ft
2020,1,2,17,30,278,5.6,7,99,99,99,999,1015.6,15.9,15.2,12.8,99,99
2020,1,2,17,40,283,5.4,7.6,2.21,19.05,7.36,249,1015.6,15.9,15.2,12.8,99,99
2020,1,2,17,50,281,5.3,6.9,99,99,99,999,1015.6,15.9,15.2,13,99,99
2020,1,2,18,0,285,6.2,7.6,99,99,99,999,1015.6,15.9,15.2,12.7,99,99
2020,1,2,18,10,282,5.7,7.1,99,99,99,999,1015.6,16,15.3,12.7,99,99
2020,1,2,18,20,279,6,7.6,99,99,99,999,1015.6,16,15.3,12.5,99,99
2020,1,2,18,30,274,6.8,8.6,99,99,99,999,1015.3,15.9,15.3,12.7,99,99
2020,1,2,18,40,273,7.2,8.7,2.07,17.39,7.23,243,1015.4,16,15.3,12.8,99,99
2020,1,2,18,50,272,6.8,8.4,99,99,99,999,1015.3,16.1,15.3,12.9,99,99
2020,1,2,19,0,269,6.7,8.4,99,99,99,999,1015.1,16.1,15.3,13.1,99,99
2020,1,2,19,10,273,6.7,8.5,99,99,99,999,1015.2,16.2,15.3,13,99,99
2020,1,2,19,20,273,5.7,6.9,99,99,99,999,1015.3,16.2,15.3,13.2,99,99
2020,1,2,19,30,281,4.6,6.7,99,99,99,999,1015.2,16.2,15.4,13.4,99,99
2020,1,2,19,40,279,3,4.6,1.9,19.05,7.31,280,1015.2,16.4,15.4,13.7,99,99
2020,1,2,19,50,255,1.5,2.7,99,99,99,999,1015.2,16.5,15.5,14.1,99,99
2020,1,2,20,0,20,1.3,3.2,99,99,99,999,1015,16.6,15.5,14,99,99
2020,1,2,20,10,26,0.4,1.7,99,99,99,999,1015.1,16.8,15.5,13.9,99,99
2020,1,2,20,20,217,0.4,2,99,99,99,999,1015.1,17.2,15.5,14.1,99,99
2020,1,2,20,30,108,0.7,2,99,99,99,999,1014.9,17.4,15.5,14.5,99,99
2020,1,2,20,40,125,1.3,2.8,1.96,19.05,7.68,240,1015.1,17,15.5,14.8,99,99
2020,1,2,20,50,179,1.5,2.4,99,99,99,999,1015,16.8,15.5,15,99,99
2020,1,2,21,0,213,1.4,2.2,99,99,99,999,1014.8,16.7,15.5,14.5,99,99
